id,type,text1,text2,text3,text4,text5,notes
blackrock_staalo,CUSTOM,"A lifeless rock, Staalo's strong magnetic field somewhat mitigates the radiation it recieves from orbiting through the bow shock of Rama and Sita's stellar winds. Rich with rare minerals, the planet has several large mining complexes.

Once the capital of industry in the Rama system, Staalo has been depopulated as a consequence of the system's history of war. Now gradually being reduced to a staging base for the Hegemony forces in the system, Staalo still serves as the home of a considerable population of workers, permanent residents and loyalists. Some stay put due to grudges with Blackrock or deep ties to the Hegemony government, while others would do anything to escape their current situation, but lack the means to do so.",,"The dark and barren surface of Staalo belies the planet's long history of human influence. The sprawling settlement beneath the main spaceport houses 90% of the planet's population at any given time. A brief elevator ride lands you in a massive hollowed-out hab nexus, proof of people's efforts to stake out a living on this hostile world.

In the visitor hub, Hegemony propaganda slandering the Blackrock Drive Yards corporation blares from a ceiling-mounted vidscreen, while a pair of security officers escort off some furious-looking workers clad in the signature dust jackets of the Staaloan working class. In spite of the everpresent patrols, the Hegemony garrison seems to have long turned jaded towards the graffiti and the soapboxing, wide-eyed street preachers.",,,
blackrock_listeningoutpost,CUSTOM,"Thoroughly damaged during the past cycles of war, this orbital has been claimed and rebuilt by Tri-Tachyon for the Corporation's own purposes. The station officially serves as the base of a long-term research program, that aims to discover what happened to the planets that became Rama's outer and inner debris rings.",,"Now mostly a transfer point for combat fleets heading into the Rama system, Thalm Listening Post is a popular place for daring travellers to rid themselves of 'interesting' cargo while catching up on the latest information about the Gneiss Expanse. Tri-Tachyon military patrols and PR officials are present so that they may 'helpfully' guide those who seem out-of-place, confused or nervous into small side corridors for 'guidance', and most of the people in the area are mechanically heading to or fro the trade hub or one of several docking terminals.",,,
blackrock_limbo,CUSTOM,"A frozen world bombarded by sleet from Rama's vast debris rings, Limbo's complete hostility to human settlement and surface-to-space travel has paradoxically resulted in the birth of a small settlement that serves as the ideal haven for those who seek to evade detection from the Sector at large.",,,,,
blackrock_sen,CUSTOM,"A gas giant mostly notable for its abnormal magnetic field, Senroamin shields the inner system from sleet and comets and allows Bharata to remain habitable.",,,,,
brdy_megaceras,SHIP,"Designed for use in dangerous and unexplored territory, this sleek, high-performance vessel can fend for itself and carry its own supplies and fuel. Branded as an exploration and scouting vessel by Blackrock, the Megaceras is otherwise decried as having been deliberately created for sting operations and surveillance outside of Blackrock's home space.

Featuring a triplet high-power arc jet engine married to a drive core that consumes most of the reactor's power output, it can beat many destroyers in terms of speed and burn, but its armament of light weapons won't stand up to big warships.",,,,,
,,,,,,,
scalaron_torpedo_small,WEAPON,"Fires slow-moving energy orbs that home in on enemy targets. An unpredictable flight path and a lack of physical components makes the orbs hard to shoot down.

A highly advanced artillery weapon, the Scalaron Pulse is classified as a missile due to its tactical role and the fact that it homes in on enemy targets, but the similarities end there.

To launch a pulse, dimensionally entangled plasma is pumped into a bubble of nanites that acts as an antenna, guidance computer and containment field guide. By slowly bleeding plasma in a given direction, the pulse's trajectory can be altered in order to home in on targets, but it's an imperfect process that results in a jagged, unpredictable path. Since the pulse itself is all payload, yield when striking a target is very high, and the containment field's breach causes an arcing discharge that can wreak havoc on a ship's weapons and engines.",Long Range Support,,,,
brdy_superscalarbeam,WEAPON,"Projects a sustained beam of raw energy that grows in power based on your flux level. Exceeding max. flux while firing the beam will trigger an automatic emergency shutdown, disabling the weapon temporarily.

Almost nothing is known about this weapon's functioning, and especially, nothing is known about the detailed workings of its myriad failsafe mechanisms. Curiously, thanks to various incidents throughout the Collapse, Exodus and later cataclysmic events, its design name has been lost to time, and several monickers have been thrown around by those who worked on Project Morpheus.",Special,,,,
homing_laser,WEAPON,"Fires a beam of energy guided by the Morpheus' field projectors, that curves to home in on enemy targets. Beams rapidly fizzle out if they fail to hit their target.

Deep pre-Collapse breakthroughs in dimensional warping technology gave rise to a number of incomparably complicated weapon designs, and in the modern era, most of them fail to function or are actively dangerous to fire, if built into modern single-core powerplant testbeds. Blackrock researchers came to discover that the Morpheus' tri-core powerplant, with its finicky tuning parameters and inherent instability, was designed in tandem with a few of these arcane weapons.

Thanks to poorly understood accumulate effects of the three competing rifts, a large forcefield can be extended into shallow subspace, and temporary weaknesses can be created and shifted around freely. This process is controlled by an embedded Savant/Pre-Alpha level AI (as opposed to the more conventional Operating Mind) that exclusively observes an umwelt-space of relevant data, and is slaved to the field modulators.

As a failsafe, it seems that the core cognition unit of the Morpheus re-initializes this AI whenever a salvo is fired, and then immediately culls and resets it until the next time it needs to ""wake up"", preventing it from reaching an unpredictable internal state.

The LFO, or Light Filament Ordnance, is the final product of all these interacting systems - a homing weapon that can reliably guide a trapped scalaron ray into a chosen target, with strike and kill rates that exceed most missile weapons, and infinite reloads provided by the ship's Dimensional Engine. Modularizing this technology would be extremely useful - but its nature seems to forbid it.",Special,,,,
brdyx_morpheus,SHIP,"An extremely powerful prototype ship that treats the laws of physics as a vague guideline, and costs as much as a capital ship to maintain and manufacture.

While little is known about Project Morpheus, its existence is not a secret, given the confirmed sightings of spaceworthy offshoot hulls - although open inquiry is a surefire way to attract ''interest'' from Blackrock, Tri-Tachyon and other parties.",,,,,
morpheusjets,SHIP_SYSTEM,A combination of weak dimensional lift and conventional thrusters grants the ship extreme agility and improved speed for a short duration. Cannot reverse. Holds 3 charges that replenish over time.,Mobility,,,,
blackrock_vena,CUSTOM,"This planet has been profoundly altered by an event in the Sector's past - likely to have coincided with the destruction of many of the other planets in the Rama system. No permanent orbitals exist.

The inner composition of Vena remains a mystery. Not even remote-controlled probes can survive for long on the planet's surface.",,"Legions of specialized drones coast the bow shock of Vena's magnetosphere, bringing data back to their owners and sabotaging each other with constant electronic warfare. Occasionally, fights are known to break out between Tri-Tachyon and Blackrock task forces in high orbit.

As you approach the outer energy filaments, a mess of warnings clutter up your displays and scopes, followed by a barrage of ominous comm bursts from TT and BRDY nanosats.",,,
brdy_raze,WEAPON,"A large-caliber offshoot of the Gale Cannon, developed as a main gun for the prototype Nevermore ACL. Fires punishing, charged anti-warship rounds.",Anti Armor (LR),,,,
brdy_eurypterus,SHIP,"Armored, fast and reliable, this combat destroyer is usually seen paired with the slower Scorpion. Its role is often defined by the weapon slotted into the large hardpoint.

Designed to relieve the ageing stock of corporate Desdinova hulls, the Eurypterus is a fast destroyer that can give chase to frigates and avoid big threats on the battlefield. Recognizing the need for utility in attrition battles, the Eurypterus was also made to act as a mobile gun platform, thanks to its modular heavy hardpoint. Its maintenance budget is fairly low, due to extended use of standardized components: an attempt to reduce the corporation's reliance on long supply lines.",,,,,
brdy_plance,WEAPON,"A low-flux weapon that fires a pulsed particle beam, disrupting enemy shields and electronics. Highly effective against light targets, especially when fired in volleys.

The Particle Lance fires a stream of mixed particles through a tunnel of faint interdimensional weakness created by a tracer high-energy scalaron. It causes a wide range of disruptive effects on impact, and is remarkably flux-efficient. Lack of thermal energy makes it inefficient against armor, just like the related Argus family of weapons. Even so, synchronized strikes against light armor will eventually ablate enough mass to deal heavy damage.",Anti Small Craft,,,,
blackrock_vigil,CUSTOM,"This massive space station is used for research and high-orbit monitoring of Verge, and also serves as a listening outpost for the outer Gneiss system.",,"Vigil Station is home to a diverse population of researchers, new Blackrock associates looking to prove themselves, refugees from the Expanse, and exiles from the inner Gneiss system. It also serves as a shipbreaking center, relieving the space elevator on Lodestone. 

Most habitable areas are overseen by everpresent Blackrock Internal Affairs officers and sentry bots, especially the intermediate areas leading to the Corporate sections. The top of the station houses a colony of refugees, opportunists and dissidents, a giant ring-shaped shanty town of people that lack the funds or connections to leave or move up in the station's hierarchy.",,,
br_particlerifle,WEAPON,"Pulverizes light targets with a barrage of particle bolts. Long range and flux-efficient, making it useful as a support weapon.

Derived from the same technology used in the Argus Particle Beam, the Particle Rifle uses a grooved, open magnetic ''sling'' to accelerate charged particles. The pulsed ray is less effective against armor and shields, but rapidly destroys unprotected ships, and destroys missiles and rockets in a crossfire.",Anti Small Craft,,,,
furylauncher,WEAPON,"A reliable launch platform for the fast, volatile T-1 Fury plasma torpedo. A built-in capacitor removes the rack/single mount's flux cost, but increases cooldown time.",Torpedo,,,,
br_rage_srm,WEAPON,"A direct-fire, weakly guided anti-armor missile. Easily defeats point defense due to raw thrust, but can miss small, agile targets. Generous ammo reserves for its size.

One of Blackrock's oldest space engine designs eventually found new life in the Rage SRM. The missile gains extreme speed moments after launch, easily propelling its shaped-charge warhead past point defenses. The weapon's homing ability leaves something to be desired, so care should be taken to aim the launcher at the target before firing.",Finisher,,,,
scalaron_torpedo_med,WEAPON,"Fires slow-moving energy orbs that home in on enemy targets. An unpredictable flight path and a lack of physical components makes the orbs hard to shoot down. Bigger ammo reserves and more punch than the small-mount version.

A highly advanced artillery weapon, the Scalaron Pulse is classified as a missile due to its tactical role and the fact that it homes in on enemy targets, but the similarities end there.

To launch a pulse, dimensionally entangled plasma is pumped into a bubble of nanites that acts as an antenna, guidance computer and containment field guide. By slowly bleeding plasma in a given direction, the pulse's trajectory can be altered in order to home in on targets, but it's an imperfect process that results in a jagged, unpredictable path. Since the pulse itself is all payload, yield when striking a target is very high, and the containment field's breach causes an arcing discharge that can wreak havoc on a ship's weapons and engines.",Long Range Support,,,,
br_rage_pod,WEAPON,"A pod of direct-fire, weakly guided anti-armor missiles. Easily defeats point defense due to raw thrust, but can miss small, agile targets.

One of Blackrock's oldest space engine designs eventually found new life in the Rage SRM. Because the missile's thruster is, essentially, a miniaturized orbital burn drive, it gains extreme speed moments after launch, easily propelling its shaped-charge warhead past point defenses. The weapon's homing ability leaves something to be desired, so care should be taken to aim the launcher at the target before firing.",Finisher,,,,
brdy_bolide,WEAPON,"Fires a dense, spinning disc that imparts a massive amount of kinetic energy on impact. More effective against large targets due to slow projectiles, the Bolide can provide devastating short-term damage and will crush its way through compromised armor sections.

A massive electromagnetic acceleration cannon, the Bolide's internal space is occupied by flywheels that spin up disc-shaped projectiles to store great amounts of kinetic energy. The Bolide is devastating against shields, and its projectiles tend to fragment violently inside spaced armor, granting it extra kill power.

Although the Bolide is easiest to use against heavy warships, the ultra-dense discs fired by this weapon can be given extra speed by quickly accelerating in a given direction before firing. When mounted on fast, Burst Jet-equipped ships, skilled captains can ""sling"" discs at their targets, making up for the weapon's biggest flaw. Heavier ships that can't accelerate quickly tend to rely on the Bolide's large effective range and shield-crushing strength.",Anti Shield,,,,
brdy_comet,WEAPON,"Fires dense, spinning discs that impart a heavy amount of kinetic energy on impact. Low damage over time, but impressive short-term burst damage, that can quickly overload an unwary target or defeat weak armor.",Anti Shield,,,,
brdy_knight,SHIP,"A rugged hybrid warship that has seen heavy use throughout the Blackrock Corporation's history, the Knight has a great missile carrying capacity that synergizes well with its fighter bays and powerful drive systems.",,,,,
brdy_pcc,WEAPON,"Fires a barrage of slow, proximity-fuzed plasma charges. Great against missiles and fighters, but greater flux buildup than most PD weapons.

The ''Defender'' Plasma Charge Cannon, commonly known as the Burst Cannon, is one of many blueprints acquired by Blackrock and since repurposed. The cannon is notable for its large turret assembly compared to most light weapons, where the gyros and actuators are mounted inside the turret house. The internals are instead occupied by cooling systems. A simple electrochemical firing mechanism is used to mitigate the considerable flux buildup of charging the shells, which leads to a fairly low muzzle velocity.

Its psychological effect on fighter pilots is well-documented inside the Corporation.",Point Defense (Area),,,,
brdy_heavymaneuveringjets,SHIP_SYSTEM,Boosts the ship's speed and mobility for a short duration. Bigger boost and less duration compared to standard Maneuvering Jets.,,,,,
brdy_taipan,SHIP,"A large and fast interceptor, designed to afterburn in and tackle strike craft and other light threats. A Taipan wing can easily cripple a frigate, but is bereft of anti-armor firepower and needs support when attacking well-defended targets.",,,,,
brdy_mosquito,SHIP,"A light bomber that offers strike capability without burdening the carrier's hangars too much. Its excellent speed lets it keep up with other wings, but it's defenseless against fighters.",,,,,
brdy_nadir,SHIP,"A support fighter designed to hover around friendly ships and protect them from enemy fighters and missiles. The Nadir is armed with potent point defense and suppression weapons, and protected by a durable front shield.",,,,,
barracuda_drone,SHIP,"Barracuda drones are fast, expendable guard craft used by Blackrock's older drone-control suites. Their armament is simple, but four of them working together can screen missiles, harry fighters, and make a carrier's blind spots expensive to exploit.",,,,,
brdy_galedrone,SHIP,"Stinger drones are self-propelled gun mounts built around compact Gale Cannon hardware. They do not wander far from their mothership, but inside their control radius they provide the kind of close fire support that makes an exposed armor plate feel like a mistake.",,,,,
brdy_sentinel_drone,SHIP,"Sentinel drones are flexible escort platforms, equal parts suppression weapon, point-defense screen, and disposable distraction. Blackrock crews like them because they buy seconds; Blackrock accountants like them because losing a drone is still cheaper than losing the ship it was covering.",,,,,
brdy_bulwark,SHIP,"Bulwark drones are heavy defensive escorts intended to make the space around a Blackrock hull unpleasant for fighters, torpedoes, and impatient captains. Their point-defense package and Particle Lance give them enough bite to be more than passive armor with thrusters.",,,,,
brdy_fighter_flares,SHIP_SYSTEM,Launches flares that attract enemy PD fire.,,,,,
burner_taipan,SHIP_SYSTEM,Most of the Taipan's speed comes from this powerful afterburner.,,,,,
brdy_stenosdrone,SHIP,"Integral to the Stenos' design, these drones perform a wide range of functions. In combat, they serve as a convenient distraction, using their utility plasma cutters to chew through enemy targets. Slow and somewhat vulnerable, but lethal against unshielded ships.",,,,,
brdy_hshard,WEAPON,"Overwhelms shields and light armor with a twin-barrel barrage of large-caliber Shards. Special ammo increases lethality against armor and hull compared to inert kinetic rounds.

The culmination of many cycles of research, the aptly named Mega Shard Cannon maximizes the overall rate of fire that is possible for Phase Shard munitions with a peculiar recoil-compensating armature and hybrid chemical/coil-propelled firing mechanism. Ammo for this weapon is particularly crude compared to that of its smaller counterparts, as the larger caliber ensures lethality either way, and ammo availability and ease of manufacture is at a premium.",General,,,,
brdy_hawkmoth,SHIP,"A combat-rated tanker, designed for uninterrupted operation of supply lines in the face of encroaching hostility, privateering and enemy strike ops. The Hawkmoth is notorious for being difficult prey, thanks to its monstrous thrusters, dense armor and respectable armament. In fact, the Hawkmoth tends to simply get deployed into battle as though it was a regular warship.

Its dual-purpose design makes the 'Moth a great investment for a commander that expects to see frequent contact with hostile ships, but its raw efficiency at transporting fuel is not as great as other tankers. All things considered, the Corporation is not shy of selling surplus hulls to outsiders, as most end up being used for scavenging or contract work aligned with their interests.",,,,,
brdy_zabrus,SHIP,"A ship based on the Blackrock Weevil, sacrificing its drone bay and most of its cargo holds for greater overall power and a wider selection of small ordnance. A comparison with the Mod Silverfish points to a common originator, especially since the Zabrus is often called the ''Mod Weevil''. A large number of hulls found their way into the wrong hands several cycles ago, which has contributed to the ship's infamy.",,,,,
brdy_antaeus,SHIP,"The Antaeus integrates elements from several competing schools of warship design, thanks to incremental upgrades and alterations to what began as a Mastery-epoch heavy cruiser platform. It is a strong fleet anchor that serves an important (and completely unique) role in Blackrock fleet doctrine.

Absolutely vital to all large-scale Corporate military operations, the Antaeus has been mass-produced for countless cycles. In addition to the current ""factory model"" Antaeus, several ancient hulls are also still in circulation, some even having been liberated from enemy hands and cycled back into service after undergoing a modernization refit.",,,,,
brdy_antlaser,WEAPON,"A pulsed low-frequency laser, which features a dedicated secondary power supply that must be built into a ship's deep flux dispersion network. Very effective against missiles.",Point Defense,,,,
br_impulseskimmer,SHIP_SYSTEM,Very quickly warps the ship along its current vector. Long cooldown.,Mobility,,,,
brdy_cc,WEAPON,"A decent, not-quite-ideal tool for most combat situations, the Straff can be deceptively deadly in the right hands.

Blackrock got their hands on this unpopular and somewhat obscure cannon blueprint during the chaos directly following the Collapse. The Development Board modernized it with a series of careful iterations, then monopolized the production of the Straff in order to make sure even the most run-down Corporate ships could mount a full complement of ship-to-ship weapons. In today's Sector, you hardly need to be well-connected to get your hands on a couple of these.",General,,,,
brdy_espada,WEAPON,"A heavy particle bolt weapon designed to fire rapid saturation bursts that are utterly devastating against unprotected ships, with long effective range to suppress smaller targets. If not blocked by shields, it will usually cause some significant temporary or permanent damage.

The Extreme Saturation Particle Assault Decoupled Array Repeater is the most optimized particle bolt weapon developed by Blackrock. Initially slated to replace the Particle Rifle, development involved so many power-hungry and ambitious tweaks that the ESPADA eventually required a large turret assembly for power feed and support mechanisms. This lends the weapon a few quirks; it is fairly easy to mount compared to other large energy weapons, and it has a good rotation and tracking speed thanks to its small size relative to the gyros and actuators.",Suppression,,,,
brdy_dynastos,SHIP,"The Dynastos excels at Sector-specific combat scenarios, such as defeating swarming attacks by outgunned, but aggressive light warships. A great asset for the discerning commander, the ship is self-sufficient, but can also serve as a competent heavy escort.

Being the product of a long-standing effort to optimize Dimensional Engine-carrying warships for mass production, Dynastos captains were initially hand-picked by the Consortium brass. Increasingly, the ship is being used to escort VIP fleets or to reinforce operations in the Sector rim, which means it has become available to a greater number of Blackrock-associated spacers.",,,,,
homing_laser_light,WEAPON,"Fires an energy pulse that attempts to home in on the target. Similar to the modular Scalaron Pulse Launcher, but faster, lower-yield and more unpredictable.",Special,,,,
brdy_stinger,WEAPON,"Fires a quick-moving bolt that explodes when something touches the containment field or once the field dissipates on its own, damaging everything in the area. Especially long range for an energy weapon, but highly flux-inefficient.",Special,,,,
dynastosjets,SHIP_SYSTEM,"Causes a subjective 3x time dilation effect, combined with a massive boost to maximum speed. Disables shields while active, and builds some flux upon activation.",Mobility,,,,
dyn_emp,SHIP_SYSTEM,"EMP burst attack, good against fighters that stray too close. Targets enemy missiles, ships and fighters up to 500 units away. Disables shields while active, but not weapons.",,,,,
dyn_emp2,SHIP_SYSTEM,"Delayed EMP attack with a 360-degree, 500 range radius. Produces scattered electric arcs followed by a final, powerful burst. During charge-up, builds flux and prevents your weapons from firing.",,,,,
brdy_hellbender,SHIP,"Designed to lead the charge against enemy formations, the Hellbender is encased in a thick shell of armor and carries flares to distract enemy point defenses. Armed with dual kinetic cannons and all-purpose plasma missiles.",,,,,
brdy_vajra,WEAPON,"A recklessly over-fed neutron particle cannon that can blow giant chunks out of any target. The Asura's reactor was designed with a special overdrive mode to enable sustained firing of this weapon - otherwise, careful trigger discipline is recommended.",General,,,,
brdy_shredderdrone,SHIP,"Simple drones armed with triple rotary cannons and an ultralight missile rack. Good for tearing through missiles, fighters or damaged ships, but cannot stray far from the mothership.",,,,,
brdy_mage_s,WEAPON,"A multi-stage missile that unleashes a blast of plasma bomblets. The Gridfire can be safely launched from backline ships to deliver a killing blow, and is especially hard to dodge due to its peculiar homing mechanism.",Finisher,,,,
burstjets_ant,SHIP_SYSTEM,"Charges up the ship's boosters for a short duration, preventing any form of acceleration or weapon firing, then grants a strong, committal burst of speed in the forward direction.",Mobility,,,,
brdy_mage_m,WEAPON,"A multi-stage missile that unleashes a blast of plasma bomblets. The Gridfire can be safely launched from backline ships to deliver a killing blow, and is especially hard to dodge due to its peculiar homing mechanism.
This pod version has twice the volley size of the standard mount.",Finisher,,,,
antshred,WEAPON,"A single-barrel version of the Shredder. Enjoys marginally longer range, accuracy and muzzle velocity, but lacks bullet saturation, making it less reliable against missiles than the standard Shredder.",Point Defense,,,,
brdy_dragonfly,SHIP,"Strong for its size, the Dragonfly can deal great damage if left unchecked, and is an excellent force multiplier for frigate-based fleets.

Its Brakefield Barrier system can freeze and deflect incoming fire, letting the captain back out of a tough situation - in the simplest sense, it allows the Dragonfly to retreat once its reactor is close to redline, but there are some additional uses for this system. For instance, in a melee, the Dragonfly can prevent an enemy ship from moving, leaving it at the mercy of incoming heavy firepower. Fighters grappling with the Dragonfly can also be caught in this trap.",,,,,
brakefieldbarrier,SHIP_SYSTEM,"Projects a forcefield in a tight radius around the ship, that attempts to stop or deflect incoming projectiles and missiles. Fighters or small ships will also be affected if they are close enough. Prevents weapons from firing, but allows shields to remain active.",Defense,,,,
